OrderDate,Region,Category,Channel,Product,Units,UnitPrice,Discount,Revenue,Profit,CustomerSatisfaction
2023-01-01,South,Books,Online,P-011,10,25.44,0.34,167.9,12.47,2.55
2023-01-02,West,Sports,Retail,P-006,2,733.95,0.2,1174.32,79.98,4.79
2023-01-02,South,Sports,Retail,P-015,6,475.44,0.16,2396.22,662.59,2.96
2023-01-04,West,Apparel,Wholesale,P-030,8,484.96,0.29,2754.57,340.26,4.12
2023-01-04,West,Home,Online,P-012,4,73.02,0.18,239.51,58.34,2.98
2023-01-04,Central,Apparel,Retail,P-034,6,377.1,0.34,1493.32,451.84,2.53
2023-01-04,South,Beauty,Online,P-024,4,294.44,0.18,965.76,124.51,3.34
2023-01-04,Central,Home,Online,P-001,1,567.53,0.1,510.78,108.58,3.57
2023-01-04,Central,Beauty,Retail,P-036,2,124.12,0.26,183.7,31.54,2.72
2023-01-04,South,Apparel,Online,P-038,2,298.02,0.19,482.79,162.84,3.35
2023-01-05,South,Beauty,Retail,P-005,5,449.22,0.06,2111.33,826.56,4.51
2023-01-06,East,Sports,Online,P-014,11,493.61,0.3,3800.8,251.66,3.72
2023-01-06,North,Sports,Online,P-013,5,141.77,0.14,609.61,191.6,3.75
2023-01-06,South,Electronics,Online,P-029,3,352.17,0.34,697.3,47.6,3.46
2023-01-06,Central,Sports,Retail,P-028,7,669.78,0.2,3750.77,1128.33,3.27
2023-01-06,North,Apparel,Online,P-040,6,530.48,0.29,2259.84,286.45,2.63
2023-01-07,North,Home,Retail,P-040,10,293.13,0.04,2814.05,357.33,4.04
2023-01-08,South,Apparel,Online,P-023,3,421.97,0.12,1114.0,151.18,2.8
2023-01-08,East,Apparel,Online,P-025,3,569.16,0.28,1229.39,106.92,2.75
2023-01-09,North,Electronics,Online,P-029,11,331.73,0.25,2736.77,183.37,3.11
2023-01-09,South,Apparel,Retail,P-028,7,678.55,0.09,4322.36,1582.11,3.35
2023-01-11,West,Beauty,Retail,P-025,4,593.44,0.33,1590.42,425.92,4.75
2023-01-11,South,Home,Retail,P-005,8,786.87,0.14,5413.67,1882.27,2.66
2023-01-11,South,Electronics,Wholesale,P-023,9,325.33,0.33,1961.74,148.84,3.34
2023-01-11,West,Books,Online,P-006,11,177.35,0.13,1697.24,468.61,4.9
2023-01-12,North,Home,Wholesale,P-038,2,490.8,0.15,834.36,53.16,2.69
2023-01-13,Central,Books,Online,P-001,4,82.26,0.17,273.1,34.58,3.56
2023-01-14,East,Electronics,Wholesale,P-006,5,344.67,0.34,1137.41,357.32,3.22
2023-01-14,North,Sports,Online,P-021,1,432.09,0.32,293.82,103.15,3.46
2023-01-15,West,Sports,Online,P-024,3,656.61,0.12,1733.45,448.97,4.5
2023-01-16,East,Apparel,Online,P-029,7,596.86,0.29,2966.39,240.32,3.29
2023-01-16,North,Books,Online,P-019,1,772.47,0.09,702.95,58.48,2.7
2023-01-17,East,Home,Retail,P-027,4,561.85,0.18,1842.87,287.65,3.9
2023-01-17,West,Apparel,Online,P-015,4,577.17,0.16,1939.29,712.06,3.02
2023-01-17,South,Beauty,Online,P-031,5,447.18,0.21,1766.36,561.29,3.11
2023-01-17,West,Sports,Retail,P-003,9,184.82,0.03,1613.48,508.08,3.23
2023-01-18,South,Apparel,Retail,P-032,9,530.01,0.01,4722.39,1591.05,3.8
2023-01-19,South,Electronics,Retail,P-012,3,266.82,0.24,608.35,171.15,4.67
2023-01-19,North,Apparel,Wholesale,P-018,4,378.7,0.0,1514.8,440.86,3.84
2023-01-19,West,Electronics,Online,P-033,3,226.1,0.02,664.73,188.5,4.74
2023-01-19,West,Books,Online,P-009,9,799.89,0.11,6407.12,2339.16,4.72
2023-01-22,Central,Home,Retail,P-013,3,598.31,0.17,1489.79,343.11,4.81
2023-01-22,South,Sports,Wholesale,P-002,9,612.16,0.05,5233.97,2002.16,3.36
2023-01-22,South,Home,Retail,P-012,1,518.03,0.14,445.51,176.23,4.65
2023-01-23,North,Home,Online,P-023,5,160.51,0.33,537.71,144.56,4.39
2023-01-24,Central,Electronics,Online,P-017,2,146.93,0.02,287.98,62.61,3.82
2023-01-24,West,Apparel,Wholesale,P-021,1,367.89,0.14,316.39,39.57,3.78
2023-01-26,West,Apparel,Retail,P-004,6,117.27,0.08,647.33,92.17,2.91
2023-01-26,South,Sports,Retail,P-029,4,620.91,0.02,2433.97,324.82,4.54
2023-01-27,West,Electronics,Online,P-004,6,526.57,0.24,2401.16,150.24,3.08
2023-01-27,West,Apparel,Online,P-013,2,458.21,0.13,797.29,188.65,3.25
2023-01-27,South,Home,Retail,P-007,10,278.01,0.12,2446.49,669.86,3.22
2023-01-27,East,Books,Online,P-009,9,53.13,0.15,406.44,80.69,3.52
2023-01-28,Central,Apparel,Online,P-016,11,315.5,0.1,3123.45,325.92,4.54
2023-01-28,East,Books,Retail,P-004,3,467.44,0.05,1332.2,94.33,3.02
2023-01-30,North,Apparel,Online,P-026,5,455.15,0.04,2184.72,816.47,3.54
2023-01-30,Central,Sports,Wholesale,P-018,3,258.19,0.18,635.15,230.78,2.97
2023-01-30,North,Electronics,Retail,P-021,3,678.73,0.22,1588.23,302.36,2.56
2023-01-31,South,Sports,Retail,P-010,10,426.41,0.06,4008.25,483.94,3.1
2023-01-31,North,Books,Online,P-033,1,31.28,0.19,25.34,3.62,4.26
2023-01-31,South,Sports,Retail,P-026,7,195.59,0.15,1163.76,115.01,3.72
2023-01-31,South,Home,Online,P-005,8,309.12,0.28,1780.53,605.41,4.67
2023-02-01,Central,Books,Online,P-013,4,288.66,0.08,1062.27,105.23,4.18
2023-02-01,North,Books,Online,P-010,2,511.01,0.32,694.97,41.24,2.6
2023-02-01,North,Apparel,Online,P-028,8,40.2,0.32,218.69,81.98,4.52
2023-02-02,South,Electronics,Online,P-033,6,126.39,0.06,712.84,125.33,2.95
2023-02-02,Central,Beauty,Retail,P-040,11,142.67,0.31,1082.87,171.97,4.34
2023-02-02,South,Sports,Online,P-006,8,736.22,0.29,4181.73,951.13,4.62
2023-02-02,West,Beauty,Online,P-010,9,636.63,0.2,4583.74,1135.67,4.31
2023-02-04,Central,Sports,Online,P-001,2,40.35,0.25,60.53,3.37,4.55
